unit name,unit uuid,unit group name,unit group uuid,flow property name,flow property uuid
mm,cc44768b-c0ce-4bc9-804a-c59b67d22e39,Units of length,838aaa22-0117-11db-92e3-0800200c9a66,Length,838aaa23-0117-11db-92e3-0800200c9a66
SEK 2000,594fb96f-0d06-4053-9263-826fcd4d0046,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
DKK 2000,2f3cc326-da25-4086-b06d-3a7ef914aef6,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
sq.mi,20ce5f57-69b1-438b-a8e8-23089854d058,Units of area,93a60a57-a3c8-18da-a746-0800200c9a66,Area,93a60a56-a3c8-19da-a746-0800200c9a66
ft²,c66d26f1-7946-4027-85f0-ac79222a59f1,Units of area,93a60a57-a3c8-18da-a746-0800200c9a66,Area,93a60a56-a3c8-19da-a746-0800200c9a66
LVL 2000,007f0ce1-4a0b-4bb2-8f7c-1b2a0e6ef6b2,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
qt (US dry),08d8bee4-32ca-4cc3-ad33-838377e6517a,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
gal*,62eb6f51-0574-4489-ae1a-1bd806f6c2ac,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
my,f7fe0af2-e764-4984-bb9f-2cbff6cd2f18,Units of length*time,326eb58b-e5b3-4cea-b45a-2398c25109f8,Length*time,b7ffb330-95a8-4815-a78c-47fcdee3b768
kWh/m²d,aff60d84-007c-4f30-bfda-3853760f6954,Units of energy/area*time,876adcd3-29e6-44e2-acdd-11be304ae654,Energy/area*time,e2f7001e-a331-4fc7-8052-c0b9bcf6a05f
in2,cd277914-c68c-4be4-b7cf-cdf17a6e7f48,Units of area,93a60a57-a3c8-18da-a746-0800200c9a66,Area,93a60a56-a3c8-19da-a746-0800200c9a66
m2*d,00d8370e-2bf1-4f3b-81bb-f8f147e84819,Units of area*time,93a60a57-a3c8-20da-a746-0800200c9a66,Area*time,93a60a56-a3c8-21da-a746-0800200c9a66
cu.yd,9cd2a2c5-77a2-4b58-b893-b039dfe635ed,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
m2*a,c7266b67-4ea2-457f-b391-9b94e26e195a,Units of area*time,93a60a57-a3c8-20da-a746-0800200c9a66,Area*time,93a60a56-a3c8-21da-a746-0800200c9a66
in3,6a7531d3-3b83-4dda-8b18-4e3528491f9e,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
Items*mi,ce39138f-55f8-47bc-b55a-66027fc836d9,Units of items*length,5454b231-270e-45e6-89b2-7f4f3e482245,Items*Length,0ddc622a-bc4a-4cf8-a551-9e112864b77f
kcal,010f811e-3cc2-4b14-a901-337da9b3e49c,Units of energy,93a60a57-a3c8-11da-a746-0800200c9a66,Energy,f6811440-ee37-11de-8a39-0800200c9a66
unit,6dabe201-aaac-4509-92f0-d00c26cb72ab,Units of items,5beb6eed-33a9-47b8-9ede-1dfe8f679159,Number of items,01846770-4cfe-4a25-8ad9-919d8d378345
TCE,787f2ac9-7bcd-4a91-9fab-55bfe414138f,Units of energy,93a60a57-a3c8-11da-a746-0800200c9a66,Energy,f6811440-ee37-11de-8a39-0800200c9a66
ng,63214902-17d4-41a0-be10-d1cad375c32e,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
m3a,ee5f2241-18af-4444-b457-b275660e5a20,Units of volume*time,93a60a57-a3c8-23da-a746-0800200c9a66,Volume*time,441238a3-ba09-46ec-b35b-c30cfba746d1
Mg,83192ffa-5990-490b-a23a-b45ca072db6f,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
m3d,f3a1ae74-9750-4199-acdc-2e7e0546e0a5,Units of volume*time,93a60a57-a3c8-23da-a746-0800200c9a66,Volume*time,441238a3-ba09-46ec-b35b-c30cfba746d1
cm*m3,2f1b55fb-a432-447a-a0f5-9b02bf649724,Units of mechanical filtration (occ.),59f6a0a2-731f-41c3-86df-d383dc673dfe,Mechanical Filtration (Occ.),e0d963f9-d6a4-42a5-90e9-fff8452aa2af
Mt,9dd23b40-4394-4f9a-9572-5f2ee9643864,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
ft²*a,efbbab8b-eb92-4e39-bd5f-99951ffda6c3,Units of area*time,93a60a57-a3c8-20da-a746-0800200c9a66,Area*time,93a60a56-a3c8-21da-a746-0800200c9a66
gill,078c7a18-a743-491d-87c2-530454661ef1,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
m3y,ee5f2241-18af-4444-b457-b275660e5a20,Units of volume*time,93a60a57-a3c8-23da-a746-0800200c9a66,Volume*time,441238a3-ba09-46ec-b35b-c30cfba746d1
pkm,fe8da65d-f0ea-4496-b13e-1955aaa412d7,Units of person transport,11d161f0-37e3-4d49-bf7a-ff4f31a9e5c7,Person transport,8766e10f-9f41-4db0-8173-ad0d002a5b98
dr (Av),56f42b51-bb05-4dcd-a069-0693f167304c,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
m³*d,f3a1ae74-9750-4199-acdc-2e7e0546e0a5,Units of volume*time,93a60a57-a3c8-23da-a746-0800200c9a66,Volume*time,441238a3-ba09-46ec-b35b-c30cfba746d1
kg*a,b2ad404c-3e4f-4a7a-a604-46fb36654823,Units of mass*time,59f191d6-5dd3-4553-af88-1a32accfe308,Mass*time,4e10f566-0358-489a-8e3a-d687b66c50e6
kg*d,ab01fe47-d2c0-4308-adb1-e32df38d5a50,Units of mass*time,59f191d6-5dd3-4553-af88-1a32accfe308,Mass*time,4e10f566-0358-489a-8e3a-d687b66c50e6
m²,3ce61faa-5716-41c1-aef6-b5920054acc9,Units of area,93a60a57-a3c8-18da-a746-0800200c9a66,Area,93a60a56-a3c8-19da-a746-0800200c9a66
cm3*a,9e6a97bb-e0cf-4e4a-9f3a-37067740b421,Units of volume*time,93a60a57-a3c8-23da-a746-0800200c9a66,Volume*time,441238a3-ba09-46ec-b35b-c30cfba746d1
m³,1c3a9695-398d-4b1f-b07e-a8715b610f70,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
µBq,a9736781-d59e-43dc-8584-147b50595c1c,Units of radioactivity,93a60a57-a3c8-16da-a746-0800200c9a66,Radioactivity,93a60a56-a3c8-17da-a746-0800200c9a66
m³*a,ee5f2241-18af-4444-b457-b275660e5a20,Units of volume*time,93a60a57-a3c8-23da-a746-0800200c9a66,Volume*time,441238a3-ba09-46ec-b35b-c30cfba746d1
oz,fa44e424-f37b-419d-8475-723429d63c08,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
m3*km,5042a5e9-b8fd-40ca-b13e-cb9f1ce0357a,Units of volume*length,ff8ed45d-bbfb-4531-8c7b-9b95e52bd41d,Volume*Length,64771383-534c-4051-84ca-e195564d5425
pg,68c83ad3-bc5b-414a-81f7-5b47af2c8a23,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
acre,8ee3bcbf-9e65-4f59-9b0b-40b504cbe345,Units of area,93a60a57-a3c8-18da-a746-0800200c9a66,Area,93a60a56-a3c8-19da-a746-0800200c9a66
PJ,ff1a332f-967c-4084-8b01-8d3ca81b3121,Units of energy,93a60a57-a3c8-11da-a746-0800200c9a66,Energy,f6811440-ee37-11de-8a39-0800200c9a66
tn.lg,e5ccc940-eb40-41f9-847e-5ee691ba8c2f,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
(cmol*m2*a)/kg,2e16ca4a-9f65-472f-b4cb-274050aaf328,Units of mole*area*time/mass,a6941776-ee4b-40fe-9a05-e19faac45240,Physicochemical Filtration (Occ.),8a9107c2-62a2-4997-95b0-6944c80b774e
pk,7642bdc2-cdfa-4cc5-9e12-2255f561842a,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
kg SWU,95dd50e9-c184-4412-9afc-9764b1ffcf8f,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
MWh,92e3bd49-8ed5-4885-9db6-fc88c7afcfcb,Units of energy,93a60a57-a3c8-11da-a746-0800200c9a66,Energy,f6811440-ee37-11de-8a39-0800200c9a66
