unit name,unit uuid,unit group name,unit group uuid,flow property name,flow property uuid
dm3,2ea37335-f10b-4fcc-b4a9-0a742d651fa2,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
AUD 2000,14ed0060-9198-48c1-b458-7fa4075c9811,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
ft,f7905d3f-904d-4fdb-829e-54a72fb4c98e,Units of length,838aaa22-0117-11db-92e3-0800200c9a66,Length,838aaa23-0117-11db-92e3-0800200c9a66
ZAR 2000,71326000-165d-41fb-aea9-1bfbd9d7fc6c,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
sq.ft,c66d26f1-7946-4027-85f0-ac79222a59f1,Units of area,93a60a57-a3c8-18da-a746-0800200c9a66,Area,93a60a56-a3c8-19da-a746-0800200c9a66
tkm,0dea4ed8-bb6b-4049-b2b4-b2c413ef2180,Units of mass*length,838aaa21-0117-11db-92e3-0800200c9a66,Goods transport (mass*distance),838aaa20-0117-11db-92e3-0800200c9a66
nmi2,4689d28c-29f6-4f0a-ad03-0276f7070edd,Units of area,93a60a57-a3c8-18da-a746-0800200c9a66,Area,93a60a56-a3c8-19da-a746-0800200c9a66
tn.sh,d4922696-9c95-4b5d-a876-425e98276978,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
oz av,fa44e424-f37b-419d-8475-723429d63c08,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
v*km,19a89180-e40c-4f6b-bcd3-d7347566d1e7,Units of vehicle transport,af16ae7e-3e04-408a-b8ae-5b3666dbe7f9,Vehicle transport,ecbe0a5d-f397-4b74-993d-32d231e4bcf9
l*a,8c1fafa2-2b2e-4fef-9581-5de34ae87350,Units of volume*time,93a60a57-a3c8-23da-a746-0800200c9a66,Volume*time,441238a3-ba09-46ec-b35b-c30cfba746d1
t*nmi,7dd57df4-c092-41aa-966e-c93a27797ea1,Units of mass*length,838aaa21-0117-11db-92e3-0800200c9a66,Goods transport (mass*distance),838aaa20-0117-11db-92e3-0800200c9a66
GJ,01e58eb9-0aba-4c76-ba0c-03f6f3be1353,Units of energy,93a60a57-a3c8-11da-a746-0800200c9a66,Energy,f6811440-ee37-11de-8a39-0800200c9a66
km²a,c8166ae2-b592-4eb9-b365-e384c8b79f3c,Units of area*time,93a60a57-a3c8-20da-a746-0800200c9a66,Area*time,93a60a56-a3c8-21da-a746-0800200c9a66
hL,e24e5e7b-6c5c-4847-969d-7772ed5df017,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
p*mi,702d94e7-fbae-4a99-a2f5-b26db21126d6,Units of person transport,11d161f0-37e3-4d49-bf7a-ff4f31a9e5c7,Person transport,8766e10f-9f41-4db0-8173-ad0d002a5b98
l*d,9942703a-5962-4823-8ea3-7af06af9a21e,Units of volume*time,93a60a57-a3c8-23da-a746-0800200c9a66,Volume*time,441238a3-ba09-46ec-b35b-c30cfba746d1
t*a,23cc7a32-f08a-43df-a87c-66953eeeb3f5,Units of mass*time,59f191d6-5dd3-4553-af88-1a32accfe308,Mass*time,4e10f566-0358-489a-8e3a-d687b66c50e6
gr,78af80e7-ede4-4a65-b04d-97d9ce4f39d3,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
cuft,07973a41-56b3-4e1b-a208-fd75a09fbd4b,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
t*d,5209be3d-094e-4203-a074-06d7b75e9a38,Units of mass*time,59f191d6-5dd3-4553-af88-1a32accfe308,Mass*time,4e10f566-0358-489a-8e3a-d687b66c50e6
Wh,fc3604f7-aa93-4aa3-8ae9-8f822874da5f,Units of energy,93a60a57-a3c8-11da-a746-0800200c9a66,Energy,f6811440-ee37-11de-8a39-0800200c9a66
gal (US fl),431df202-da83-4baa-b576-5d17f59f0c8a,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
ha,debee4d9-bc47-4e35-8624-4957ecb75386,Units of area,93a60a57-a3c8-18da-a746-0800200c9a66,Area,93a60a56-a3c8-19da-a746-0800200c9a66
hg,86dfd16d-d1d8-4b71-88af-0e1126425c77,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
CHF 2005,d0c791b3-d989-4d90-906c-d01006e45ce0,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
hh,2a39ac84-f3f0-4296-8907-ffc2f41aebfc,Units of length,838aaa22-0117-11db-92e3-0800200c9a66,Length,838aaa23-0117-11db-92e3-0800200c9a66
CHF 2000,8632c804-eed7-4a57-91e6-1798289c49e3,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
lb av,0300ec69-ce1a-45f0-bcf0-7b33845dc53e,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
yard,a16960ba-31e2-4fe9-82fe-219013f4708f,Units of length,838aaa22-0117-11db-92e3-0800200c9a66,Length,838aaa23-0117-11db-92e3-0800200c9a66
hl,e24e5e7b-6c5c-4847-969d-7772ed5df017,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
hm,0a025f54-0114-4548-a564-d91aa8eb8174,Units of length,838aaa22-0117-11db-92e3-0800200c9a66,Length,838aaa23-0117-11db-92e3-0800200c9a66
cm3,46930fb7-8660-42a4-983e-19cf53da740b,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
cm2,588613d5-6c8c-4ab6-8c69-ec5e20ef7881,Units of area,93a60a57-a3c8-18da-a746-0800200c9a66,Area,93a60a56-a3c8-19da-a746-0800200c9a66
NOK 2000,97ee3997-137d-4d96-80bf-c4f106c743c4,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
Items*nmi,9bf0166c-fa76-47d0-95af-054ea9125f2c,Units of items*length,5454b231-270e-45e6-89b2-7f4f3e482245,Items*Length,0ddc622a-bc4a-4cf8-a551-9e112864b77f
hr,227a54d9-44e7-468c-b8bb-f2dd1ae68c7a,Units of time,af638906-3ec7-4314-8de7-f76039f2dd01,Duration,c0447923-0e60-4b3c-97c2-a86dddd9eea5
yd,a16960ba-31e2-4fe9-82fe-219013f4708f,Units of length,838aaa22-0117-11db-92e3-0800200c9a66,Length,838aaa23-0117-11db-92e3-0800200c9a66
ft²a,efbbab8b-eb92-4e39-bd5f-99951ffda6c3,Units of area*time,93a60a57-a3c8-20da-a746-0800200c9a66,Area*time,93a60a56-a3c8-21da-a746-0800200c9a66
(mm*m2)/a,95e8feec-abc7-4eb0-bf39-2a6d411cba8d,Units of groundwater replenishment (transf.),9e5a91be-b3d1-4268-8e7d-e5e93f6a75d4,Groundwater Replenishment (Transf.),58ea2de8-1f31-4248-9b03-18ec5d8db13b
pig place,6dabe201-aaac-4509-92f0-d00c26cb72ab,Units of items,5beb6eed-33a9-47b8-9ede-1dfe8f679159,Number of items,01846770-4cfe-4a25-8ad9-919d8d378345
km2,b9a011a0-c9bf-459b-b105-2623d1b61ddf,Units of area,93a60a57-a3c8-18da-a746-0800200c9a66,Area,93a60a56-a3c8-19da-a746-0800200c9a66
l*km,a0805221-ed1e-4177-9e2a-4b72ce2beb06,Units of volume*length,ff8ed45d-bbfb-4531-8c7b-9b95e52bd41d,Volume*Length,64771383-534c-4051-84ca-e195564d5425
yr,9a87f840-752d-4863-b911-533f92ee5073,Units of time,af638906-3ec7-4314-8de7-f76039f2dd01,Duration,c0447923-0e60-4b3c-97c2-a86dddd9eea5
kt*km,097768e6-0763-4126-a253-e323cafdf77e,Units of mass*length,838aaa21-0117-11db-92e3-0800200c9a66,Goods transport (mass*distance),838aaa20-0117-11db-92e3-0800200c9a66
personkm,fe8da65d-f0ea-4496-b13e-1955aaa412d7,Units of person transport,11d161f0-37e3-4d49-bf7a-ff4f31a9e5c7,Person transport,8766e10f-9f41-4db0-8173-ad0d002a5b98
m²a,c7266b67-4ea2-457f-b391-9b94e26e195a,Units of area*time,93a60a57-a3c8-20da-a746-0800200c9a66,Area*time,93a60a56-a3c8-21da-a746-0800200c9a66
km²*a,c8166ae2-b592-4eb9-b365-e384c8b79f3c,Units of area*time,93a60a57-a3c8-20da-a746-0800200c9a66,Area*time,93a60a56-a3c8-21da-a746-0800200c9a66
in,030e99e1-2237-483c-8447-8b3a256d8b0d,Units of length,838aaa22-0117-11db-92e3-0800200c9a66,Length,838aaa23-0117-11db-92e3-0800200c9a66
ft2,c66d26f1-7946-4027-85f0-ac79222a59f1,Units of area,93a60a57-a3c8-18da-a746-0800200c9a66,Area,93a60a56-a3c8-19da-a746-0800200c9a66
TOE,425aff51-b7e5-4561-aa5a-562ec103a79e,Units of energy,93a60a57-a3c8-11da-a746-0800200c9a66,Energy,f6811440-ee37-11de-8a39-0800200c9a66
kWh/m2d,aff60d84-007c-4f30-bfda-3853760f6954,Units of energy/area*time,876adcd3-29e6-44e2-acdd-11be304ae654,Energy/area*time,e2f7001e-a331-4fc7-8052-c0b9bcf6a05f
acre (US),8ee3bcbf-9e65-4f59-9b0b-40b504cbe345,Units of area,93a60a57-a3c8-18da-a746-0800200c9a66,Area,93a60a56-a3c8-19da-a746-0800200c9a66
mi2a,1c43f336-c84b-4f42-bbf7-b1b6f89e121a,Units of area*time,93a60a57-a3c8-20da-a746-0800200c9a66,Area*time,93a60a56-a3c8-21da-a746-0800200c9a66
bl (US fl),89121cea-0d98-4466-9b0f-e33e448db7ec,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
bl (US beer),a681e9e5-6304-45f0-a5f4-df413eee0724,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
kJ,f4119718-2d50-47fe-9154-cab6fd2d30eb,Units of energy,93a60a57-a3c8-11da-a746-0800200c9a66,Energy,f6811440-ee37-11de-8a39-0800200c9a66
kL,1c3a9695-398d-4b1f-b07e-a8715b610f70,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
MJ/kg*d,94dcd768-ea3e-47da-ba1b-11fea4b5f4cc,Units of energy/mass*time,258d6abd-14f2-4484-956c-c88e8f6fd8ed,Energy/mass*time,c6984745-192d-416f-9728-d6169ba6267f
oz t,2457aee5-c7ee-4416-a65a-5be4ff2b2976,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
M$ 2000,b9948675-d7f6-4f0b-afa0-aa320718bb98,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
US fl oz,2d64c7e0-1167-42ec-9988-c441c261a35c,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
m3*d,f3a1ae74-9750-4199-acdc-2e7e0546e0a5,Units of volume*time,93a60a57-a3c8-23da-a746-0800200c9a66,Volume*time,441238a3-ba09-46ec-b35b-c30cfba746d1
ton,83192ffa-5990-490b-a23a-b45ca072db6f,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
lb*nmi,d24270f0-c1f2-49ec-a6bf-e86a74177070,Units of mass*length,838aaa21-0117-11db-92e3-0800200c9a66,Goods transport (mass*distance),838aaa20-0117-11db-92e3-0800200c9a66
kmy,8cbb4edb-d76c-41f7-8b30-cc789217c954,Units of length*time,326eb58b-e5b3-4cea-b45a-2398c25109f8,Length*time,b7ffb330-95a8-4815-a78c-47fcdee3b768
gal (US dry),c530708d-be50-4207-b536-23d0857210bf,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
nBq,df1ceca8-2d2a-46fa-91c1-24e5dd0f248f,Units of radioactivity,93a60a57-a3c8-16da-a746-0800200c9a66,Radioactivity,93a60a56-a3c8-17da-a746-0800200c9a66
kg,20aadc24-a391-41cf-b340-3e4529f44bde,Units of mass,93a60a57-a4c8-11da-a746-0800200c9a66,Mass,93a60a56-a3c8-11da-a746-0800200b9a66
mm*m2,0dc79b8e-47a1-4ec7-96b1-c9b9da2769fa,Units of length*area,36932b14-ba61-417b-a80c-eb9935d193f1,Groundwater Replenishment (Occ.),45915a2c-6ee8-45bd-8a46-070a7261558e
